20231222-163649 | XA 00000 0 982 126050603002
20231222-163649 | XA 00000 0 982 126050603002
20231222-163650 | XA 00000 0 982 126050603002
20231222-163650 | XA 00000 0 982 126050603002
20231222-163650 | XA 00000 0 982 126050603002
20231222-163650 | XA 00000 0 982 126050603002
20231222-163651 | XA 00000 0 982 126050603002
20231222-163651 | XA 00000 0 982 126050603002
20231222-163651 | XA 00000 0 982 126050603002
20231222-163651 | XA 00000 0 982 126050603002
20231222-163652 | XA 00000 0 982 126050603002
20231222-163652 | XA 00000 0 982 126050603002
20231222-163652 | XA 00000 0 982 126050603002
20231222-163652 | XA 00000 0 982 126050603002
20231222-163652 | XA 00000 0 982 126050603002
20231222-163653 | XA 00000 0 982 126050603002
20231222-163653 | XA 00000 0 982 126050603002
20231222-163653 | XA 00000 0 982 126050603002
20231222-163653 | XA 00000 0 982 126050603002
20231222-163654 | XA 00000 0 982 126050603002
20231222-163654 | XA 00000 0 982 126050603002
20231222-163654 | XA 00000 0 982 126050603002
20231222-163654 | XA 00000 0 982 126050603002
20231222-163654 | XA 00000 0 982 126050603002
20231222-163655 | XA 00000 0 982 126050603002
20231222-163655 | XA 00000 0 982 126050603002
20231222-163655 | XA 00000 0 982 126050603002
20231222-163655 | XA 00000 0 982 126050603002
20231222-163656 | XA 00000 0 982 126050603002
20231222-163656 | XA 00000 0 982 126050603002
20231222-163656 | XA 00000 0 982 126050603002
20231222-163656 | XA 00000 0 982 126050603002
20231222-163657 | XA 00000 0 982 126050603002
20231222-163657 | XA 00000 0 982 126050603002
20231222-163657 | XA 00000 0 982 126050603002
20231222-163657 | XA 00000 0 982 126050603002
20231222-163657 | XA 00000 0 982 126050603002
20231222-163658 | XA 00000 0 982 126050603002
20231222-163658 | XA 00000 0 982 126050603002
20231222-163658 | XA 00000 0 982 126050603002
20231222-163658 | XA 00000 0 982 126050603002
20231222-163659 | XA 00000 0 982 126050603002
20231222-163659 | XA 00000 0 982 126050603002
20231222-163659 | XA 00000 0 982 126050603002
20231222-163659 | XA 00000 0 982 126050603002
20231222-163700 | XA 00000 0 982 126050603002
20231222-163700 | XA 00000 0 982 126050603002
20231222-163700 | XA 00000 0 982 126050603002
20231222-163700 | XA 00000 0 982 126050603002
20231222-163700 | XA 00000 0 982 126050603002
20231222-163701 | XA 00000 0 982 126050603002
